ERROR 2016-04-13 14:38:43,054   612ms HomeController         Index              - In Homepage
ERROR 2016-04-13 14:41:33,984   532ms HomeController         Index              - In new homepage
ERROR 2016-04-13 14:43:49,246   398ms HomeController         Index              - In new homepage
ERROR 2016-04-13 14:54:38,612  1874ms HomeController         Index              - In new homepage
ERROR 2016-04-13 14:54:57,835 21096ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:55:49,338 72600ms HomeController         Index              - In new homepage
ERROR 2016-04-13 14:55:51,732 74994ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:18,706  1692ms HomeController         Index              - In new homepage
ERROR 2016-04-13 14:56:36,066 19052ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,077 19063ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,104 19090ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,110 19096ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,117 19103ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,123 19109ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,130 19116ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,137 19123ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,143 19129ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,150 19136ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,157 19143ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,164 19150ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,170 19156ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,176 19162ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,183 19169ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,189 19175ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,196 19182ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,201 19187ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,208 19194ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,215 19201ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,221 19207ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,463 19450ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,478 19465ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,489 19476ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,494 19481ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,504 19490ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,510 19496ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,517 19503ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,523 19509ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,529 19515ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,535 19521ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,541 19527ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,547 19533ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,553 19539ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,558 19544ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,565 19551ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,570 19556ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,576 19562ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,583 19569ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,588 19574ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,594 19580ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:36,600 19586ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:41,634 24621ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:41,646 24633ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:41,655 24642ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:41,662 24649ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:41,668 24655ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:41,676 24663ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:41,685 24672ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:41,692 24679ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:41,698 24685ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:41,705 24692ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:41,712 24699ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:41,718 24705ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:41,725 24712ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:41,731 24718ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:41,738 24725ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:41,745 24732ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:41,752 24739ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:41,759 24746ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:41,765 24752ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:41,772 24759ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:56:41,778 24765ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:57:11,808 54795ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:57:11,825 54812ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:57:11,839 54826ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:57:11,851 54838ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:57:11,862 54849ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:57:11,871 54858ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:57:11,878 54865ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:57:11,886 54873ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:57:11,895 54881ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:57:11,903 54889ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:57:11,910 54896ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:57:11,916 54902ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:57:11,923 54909ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:57:11,956 54942ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:57:11,963 54949ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:57:11,970 54956ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:57:11,977 54963ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:57:11,983 54969ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:57:11,991 54977ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:57:11,998 54984ms MvcApplication         Application_Error  - Error occured
ERROR 2016-04-13 14:57:12,005 54991ms MvcApplication         Application_Error  - Error occured
